iter	RMSE
0	0.6131702577
1	0.6003762059
2	0.5885785711
3	0.5763136378
4	0.5645788383
5	0.5533359265
6	0.5427297034
7	0.5323543995
8	0.5230064201
9	0.5134050696
10	0.5040972674
11	0.4961588273
12	0.4867414154
13	0.4783982503
14	0.4697338568
15	0.4612061761
16	0.4530781318
17	0.445550508
18	0.438276887
19	0.4311017163
20	0.4241489098
21	0.4175632161
22	0.4105138457
23	0.4041298693
24	0.3980546749
25	0.3918879949
26	0.3854925387
27	0.3793531677
28	0.373746465
29	0.36863203
30	0.3628558902
31	0.3575152529
32	0.3524747641
33	0.3477126503
34	0.3430989472
35	0.3382980285
36	0.3340981371
37	0.3296209453
38	0.3255451532
39	0.3215515406
40	0.3177050565
41	0.3143873514
42	0.3107780865
43	0.3074794187
44	0.3041854427
45	0.300779932
46	0.2976190536
47	0.2943540375
48	0.2911884524
49	0.2882565725
50	0.2852345261
51	0.2823262002
52	0.2794764869
53	0.2768246213
54	0.2740654481
55	0.2716125029
56	0.2689317821
57	0.2664626344
58	0.2643928226
59	0.2620988249
60	0.25999583
61	0.2579052118
62	0.2564939833
63	0.2544244075
64	0.252668247
65	0.2507114166
66	0.2490806128
67	0.2470896223
68	0.2455853104
69	0.2441687921
70	0.2425918581
71	0.2414296819
72	0.2397161173
73	0.2380185156
74	0.2365812481
75	0.2350855458
76	0.2335458607
77	0.232068771
78	0.2306791582
79	0.2292696716
80	0.2278429926
81	0.2263953853
82	0.2249100236
83	0.2235584042
84	0.2223196577
85	0.2209430347
86	0.2197890941
87	0.218750747
88	0.217695425
89	0.2166132096
90	0.2154566372
91	0.2144733918
92	0.2134038635
93	0.2124846095
94	0.2114459955
95	0.2104516299
96	0.2094972821
97	0.2084891687
98	0.2074612834
99	0.2064626163
100	0.2057199636
101	0.2048113862
102	0.2040702258
103	0.203183723
104	0.2024335548
105	0.2015572627
106	0.2009487808
107	0.2000882945
108	0.1995686328
109	0.1987223921
110	0.1979357811
111	0.1973498829
112	0.1967161206
113	0.1960389882
114	0.1952086708
115	0.1948512034
116	0.1942171892
117	0.1933941388
118	0.1926221535
119	0.192138294
120	0.1915090622
121	0.1908257461
122	0.1901444748
123	0.1895182396
124	0.1891038265
125	0.1885333459
126	0.1879603125
127	0.1873559433
128	0.1867040362
129	0.1860542465
130	0.1856646536
131	0.1851568558
132	0.1845995888
133	0.1841221068
134	0.1834706564
135	0.1830638167
136	0.1826268397
137	0.1819948667
138	0.1814422571
139	0.180895661
140	0.1803872159
141	0.1797728082
142	0.1792657009
143	0.178825447
144	0.1784067901
145	0.1780632414
146	0.17753979
147	0.1772561473
148	0.1768309165
149	0.1763448861
150	0.175927336
151	0.1757303908
152	0.1752118192
153	0.1747204324
154	0.1742164977
155	0.1739971515
156	0.1737900576
157	0.1734759506
158	0.1732006328
159	0.1727549492
160	0.1724108672
161	0.1719549879
162	0.1718605397
163	0.1717342995
164	0.1713767825
165	0.1709896751
166	0.1707764208
167	0.1702042091
168	0.169822699
169	0.1696921291
170	0.1692551266
171	0.1689011569
172	0.1685698753
173	0.1682968757
174	0.1682234055
175	0.1678716441
176	0.1673235769
177	0.1671305148
178	0.1668790471
179	0.166540675
180	0.1661735919
181	0.1660441439
182	0.1656170859
183	0.165178304
184	0.1648553677
185	0.1644579029
186	0.1642341181
187	0.1636919853
188	0.1632560349
189	0.1629092557
190	0.1624549954
191	0.1621000782
192	0.1616768428
193	0.1612079286
194	0.1609500215
195	0.1607089157
196	0.1606308858
197	0.1604573048
198	0.1602559748
199	0.1600815945
200	0.1598466056
201	0.1593453633
202	0.1590877237
203	0.1590343132
204	0.1588864355
205	0.1585136452
206	0.1581426818
207	0.1578870811
208	0.1576142733
209	0.157582739
210	0.1572534808
211	0.1570861546
212	0.1565617313
213	0.1560549967
214	0.1557998606
215	0.1556299639
216	0.1553141613
217	0.15508556
218	0.1548713352
219	0.1544079921
220	0.1540459246
221	0.1539301909
222	0.1537074508
223	0.1533922823
224	0.1531546505
225	0.1529094977
226	0.1526002024
227	0.1523122382
228	0.1520020569
229	0.1516858108
230	0.151565769
231	0.1514051422
232	0.1510926213
233	0.1508753112
234	0.1506639559
235	0.150168846
236	0.1499510046
