iter	Passed	Remaining
0	10	10252
1	44	22446
2	79	26541
3	89	22342
4	124	24753
5	162	26985
6	164	23396
7	170	21100
8	203	22407
9	205	20331
10	237	21346
11	271	22361
12	281	21349
13	314	22127
14	317	20834
15	350	21525
16	396	22955
17	433	23660
18	468	24174
19	502	24617
20	520	24252
21	523	23260
22	559	23778
23	563	22931
24	598	23351
25	633	23738
26	674	24295
27	694	24115
28	705	23624
29	742	23998
30	765	23929
31	805	24379
32	840	24630
33	874	24845
34	879	24262
35	911	24411
36	945	24597
37	980	24828
38	1016	25054
39	1027	24653
40	1030	24106
41	1033	23562
42	1044	23242
43	1050	22816
44	1088	23101
45	1131	23466
46	1173	23796
47	1216	24123
48	1258	24416
49	1298	24672
50	1337	24881
51	1358	24758
52	1378	24628
53	1435	25150
54	1497	25735
55	1543	26027
56	1581	26171
57	1617	26273
58	1658	26458
59	1704	26708
60	1756	27034
61	1796	27182
62	1798	26755
63	1838	26894
64	1878	27022
65	1920	27178
66	1960	27301
67	1995	27354
68	1999	26972
69	2001	26589
70	2034	26620
71	2035	26237
72	2069	26280
73	2107	26366
74	2145	26464
75	2186	26580
76	2223	26648
77	2262	26744
78	2299	26802
79	2340	26913
80	2386	27080
81	2423	27133
82	2456	27137
83	2492	27179
84	2528	27216
85	2565	27270
86	2599	27283
87	2634	27302
88	2667	27308
89	2705	27359
90	2738	27353
91	2770	27344
92	2805	27358
93	2840	27378
94	2879	27430
95	2916	27460
96	2952	27489
97	2992	27541
98	3028	27558
99	3064	27582
100	3099	27587
101	3137	27620
102	3171	27616
103	3206	27625
104	3239	27610
105	3288	27732
106	3323	27735
107	3357	27732
108	3360	27472
109	3395	27469
110	3428	27460
111	3464	27466
112	3498	27464
113	3534	27468
114	3568	27458
115	3571	27214
116	3605	27211
117	3639	27204
118	3672	27192
119	3706	27184
120	3740	27172
121	3773	27155
122	3808	27151
123	3841	27138
124	3873	27112
125	3908	27110
126	3943	27104
127	3977	27098
128	4010	27079
129	4042	27056
130	4077	27046
131	4112	27040
132	4146	27031
133	4181	27026
134	4218	27028
135	4252	27018
136	4287	27009
137	4323	27003
138	4356	26986
139	4390	26970
140	4424	26955
141	4460	26949
142	4495	26942
143	4531	26937
144	4566	26923
145	4600	26911
146	4634	26891
147	4667	26868
148	4702	26860
149	4737	26843
150	4769	26817
151	4772	26626
152	4806	26606
153	4839	26585
154	4874	26574
155	4879	26399
156	4913	26381
157	4946	26361
158	4964	26258
159	4998	26242
160	5032	26224
161	5065	26204
162	5067	26023
163	5070	25844
164	5104	25832
165	5138	25814
166	5173	25806
167	5208	25796
168	5242	25779
169	5244	25607
170	5280	25597
171	5314	25584
172	5348	25569
173	5387	25575
174	5391	25416
175	5432	25435
176	5468	25425
177	5504	25421
178	5539	25407
179	5574	25396
180	5608	25379
181	5611	25222
182	5647	25211
183	5680	25190
184	5713	25172
185	5748	25156
186	5782	25140
187	5815	25119
188	5849	25099
189	5884	25086
190	5919	25071
191	5937	24985
192	5969	24960
193	6003	24941
194	6037	24922
195	6070	24899
196	6071	24748
197	6105	24728
198	6138	24710
199	6175	24700
200	6209	24684
201	6244	24668
202	6278	24650
203	6279	24503
204	6315	24491
205	6351	24480
206	6385	24462
207	6419	24443
208	6454	24429
209	6455	24286
210	6492	24276
211	6527	24260
212	6561	24242
213	6596	24230
214	6631	24212
215	6648	24132
216	6682	24112
217	6716	24094
218	6750	24073
219	6783	24050
220	6815	24025
221	6849	24004
222	6882	23981
223	6919	23971
224	6954	23953
225	6987	23929
226	7020	23907
227	7054	23884
228	7089	23869
229	7124	23849
230	7159	23832
231	7196	23823
232	7237	23823
233	7275	23816
234	7310	23798
235	7344	23775
236	7379	23758
237	7414	23740
238	7448	23717
239	7485	23703
240	7520	23684
241	7556	23667
242	7592	23651
243	7593	23528
244	7594	23403
